V1,V2,V3,V4,V5,V6,V7
43781.0,43781.0,33904.0,43781.0,43781.0,43781.0,22.56
110099.38,140922.44,85260.96,110099.38,110099.38,110099.38,22.56
27091.0,37977.3,22062.91,27090.95,27090.95,27090.95,18.56
438626.0,506286.6,350900.8,438626.0,438626.0,438626.0,20.0
45557.07,49262.0,21018.87,25455.45,45557.07,45557.07,31.53
36601.3,45419.0,16716.49,30686.08,36601.3,36601.3,31.53
37204.8,49200.0,16754.09,16660.74,37204.8,37204.8,31.53
255995.81,259768.93,185161.77,255995.81,255995.81,255995.81,27.67
471944.15,478036.84,341357.2,471944.15,471944.15,471944.15,27.67
39289.0,39289.0,28391.62,39289.0,39289.0,39289.0,27.74
376114.64,406714.11,295677.56,376114.64,376114.64,376114.64,21.39
117763.6,117763.0,91996.92,117763.0,117763.0,117763.0,21.88
33553.0,33553.0,26197.61,33553.0,33553.0,33553.0,21.92
209160.0,209160.0,163330.37,209160.0,209160.0,209160.0,21.91
151028.01,162400.0,103408.88,151028.01,151028.01,151028.01,31.53
67413.8,74624.0,46158.23,67413.8,67413.8,67413.8,31.53
46622.95,51747.0,31922.73,46622.95,46622.95,46622.95,31.53
53224.86,68702.0,36443.06,53224.86,53224.86,53224.86,31.53
62201.2,81821.0,42589.16,62201.2,62201.2,62201.2,31.53
43751.97,48110.0,29956.97,43751.97,43751.97,43751.97,31.53
75996.66,96633.0,52034.91,75996.66,75996.66,75996.66,31.53
22192.98,22760.0,15195.53,22192.98,22192.98,22192.98,31.53
118636.49,120321.0,81230.4,118636.49,118636.49,118636.49,31.53
231457.44,231457.44,171756.84,231457.44,231457.44,231457.44,25.79
253020.18,150000.0,191042.0,253020.18,243902.31,193902.31,22.16
51115.05,51115.05,39931.07,51115.05,51115.05,51115.05,21.88
410617.9,300000.0,281150.08,410617.9,410617.9,410617.9,31.53
49253.16,49253.16,38476.56,49253.16,49253.16,49253.16,21.88
27875.78,51380.0,18799.42,27875.78,27875.78,27875.78,32.56
111647.22,54000.0,94160.58,111647.22,111647.22,111647.22,15.66
664280.61,180000.0,518936.01,664280.61,664280.61,664280.61,21.88
62279.0,62279.0,48652.35,62279.0,62279.0,62279.0,21.88
485544.0,485544.0,340756.08,485544.0,485544.0,485544.0,29.82
72787.0,72872.0,49932.68,72787.0,72787.0,72787.0,31.4
515749.0,515749.0,412599.2,515749.0,515749.0,515749.0,20.0
33984.0,33984.0,23268.84,33984.0,33984.0,33984.0,31.53
78244.0,123650.0,55066.04,78244.25,78244.25,78244.25,29.62
202667.0,202667.0,158323.46,202667.0,202667.0,202667.0,21.88
120272.0,120272.0,93956.48,120272.0,120272.0,120272.0,21.88
472270.0,472270.0,371546.87,472270.0,472270.0,472270.0,21.33
177433.0,177433.0,138014.48,177433.0,177433.0,177433.0,22.22
185000.0,185000.0,144522.0,185000.0,185000.0,185000.0,21.88
96314.6,96314.0,75240.49,96314.0,96314.0,96314.0,21.88
158111.96,158111.96,114362.38,158111.96,158111.96,158111.96,27.67
33129.0,35551.0,23941.49,33129.0,33129.0,33129.0,27.73
68103.16,68103.16,49259.01,68103.16,68103.16,68103.16,27.67
145941.0,145941.0,105559.56,145941.6,145941.6,145941.6,27.67
85511.83,85511.83,61732.01,85511.83,85511.83,85511.83,27.81
245470.35,245470.35,191817.56,245470.35,245470.35,245470.35,21.86
87703.03,87703.0,65262.76,87703.03,87703.03,87703.03,25.59
107981.22,107981.22,78060.04,107981.22,107981.22,107981.22,27.71
12405.17,12405.17,9690.9,12405.17,12405.17,12405.17,21.88
7212.32,7212.32,5634.26,7212.32,7212.32,7212.32,21.88
117247.96,145575.4,93851.36,117247.96,117247.96,117247.96,19.95
18263.0,18263.0,9715.92,16436.7,12784.1,12784.1,24.0
326541.0,360360.0,263006.4,328758.0,328758.0,326541.0,20.53
752094.0,1002360.0,537551.18,902124.0,852754.0,651858.0,20.33
179224.35,179224.35,152340.7,179224.35,179224.35,179224.35,23.0
317377.78,315263.67,242753.03,315263.67,315263.67,304690.0,23.51
1024181.0,1024181.0,703248.12,599611.81,599611.81,599611.81,15.0
100000.0,100000.0,85000.0,100000.0,100000.0,100000.0,23.0
730783.65,730783.65,621166.1,730783.65,730783.65,730783.65,18.03
202819.0,202819.0,166258.85,202819.0,202819.0,197774.95,18.03
143229.55,143229.55,117410.99,143229.55,143229.55,89992.33,18.03
110150.67,110150.67,90294.91,110150.67,110150.67,87776.39,18.03
11528.89,12016.92,9157.8,11528.89,11528.89,11528.89,20.57
10961.67,11425.69,8691.42,10961.67,10961.67,10961.67,20.71
3584.43,3736.16,2834.57,3584.43,3584.43,3584.43,20.92
5521.48,5755.21,4366.39,5521.48,5521.48,5521.48,20.92
11040.87,11508.24,8731.12,11040.87,11040.87,11040.87,20.92
